# DTStamp_FHdata_calc_intgr_error (integration error) 2024-09-14 15:51:57 112606798 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 9.499994699509e-03, 1.708012325714e-01, 3.979878273730e-03, 6.784712788273e-02, 2.993980702297e-08, 5.091573769119e-07  	 0.017  0.002332246  0.000137150  0.161188 50.994524 50.994779  0.004371813  0.009501236  -0.005129423  0.078491072  0.170812580 -0.092321508  0.000000999971     2.388228 
 9.500016417728e-03, 1.803012489892e-01, 3.976843445037e-03, 7.182397132777e-02, 2.991755982457e-08, 5.390749367364e-07  	 0.018  0.002469397  0.000137114  0.170666 50.993861 50.994147  0.004372754  0.009501329  -0.005128575  0.082863826  0.180313909 -0.097450083  0.000000999583     2.390129 
 9.500039345019e-03, 1.898012883342e-01, 3.973631505576e-03, 7.579760283334e-02, 2.989398568418e-08, 5.689689224206e-07  	 0.019  0.002606511  0.000137076  0.180141 50.993161 50.993479  0.004373728  0.009501422  -0.005127695  0.087237554  0.189815331 -0.102577777  0.000000999166     2.392138 
 9.500063475874e-03, 1.993013518101e-01, 3.970245186682e-03, 7.976784802003e-02, 2.986910495471e-08, 5.988380273753e-07  	 0.020  0.002743588  0.000137036  0.189614 50.992422 50.992775  0.004374735  0.009501517  -0.005126782  0.091612289  0.199316848 -0.107704560  0.000000998720     2.394255 
 9.500088804515e-03, 2.088014406146e-01, 3.966685448662e-03, 8.373453346869e-02, 2.984292466951e-08, 6.286809520448e-07  	 0.021  0.002880624  0.000136994  0.199084 50.991647 50.992035  0.004375775  0.009501613  -0.005125838  0.095988064  0.208818461 -0.112830397  0.000000998245     2.396481 
 9.500115324887e-03, 2.183015559395e-01, 3.962953298350e-03, 8.769748676704e-02, 2.981545220116e-08, 6.584964042460e-07  	 0.022  0.003017618  0.000136950  0.208550 50.990833 50.991260  0.004376848  0.009501709  -0.005124861  0.100364912  0.218320170 -0.117955258  0.000000997740     2.398816 
 9.511709269143e-03, 2.278132652086e-01, 3.963870714244e-03, 9.166135748128e-02, 2.989564134837e-08, 6.883920455944e-07  	 0.023  0.003154568  0.000137071  0.218014 50.989982 50.990448  0.004383286  0.009513377  -0.005130091  0.104748198  0.227833547 -0.123085349  0.000000999637     2.401259 
 9.511738224852e-03, 2.373250034335e-01, 3.959789507543e-03, 9.562114698883e-02, 2.986548080476e-08, 7.182575263991e-07  	 0.024  0.003291639  0.000137023  0.227486 50.989093 50.989600  0.004384428  0.009513476  -0.005129048  0.109132626  0.237347023 -0.128214397  0.000000999073     2.403813 
 9.511768356821e-03, 2.468367717903e-01, 3.955536106068e-03, 9.957668309489e-02, 2.983402598617e-08, 7.480915523853e-07  	 0.025  0.003428661  0.000136972  0.236954 50.988166 50.988717  0.004385602  0.009513575  -0.005127973  0.113518228  0.246860598 -0.133342370  0.000000998480     2.406476 
 9.511799657916e-03, 2.563485714482e-01, 3.951114157948e-03, 1.035277972528e-01, 2.980130420493e-08, 7.778928565902e-07  	 0.026  0.003565634  0.000136920  0.246418 50.987202 50.987797  0.004386810  0.009513676  -0.005126866  0.117905038  0.256374274 -0.138469236  0.000000997859     2.409247 
 9.523403055461e-03, 2.658719745037e-01, 3.951326756126e-03, 1.074791240090e-01, 2.987611323224e-08, 8.077689698225e-07  	 0.027  0.003702554  0.000137033  0.255879 50.986200 50.986842  0.004393389  0.009525353  -0.005131964  0.122298427  0.265899627 -0.143601200  0.000000999637     2.412127 
 9.523436754942e-03, 2.753954112586e-01, 3.946562788177e-03, 1.114256867971e-01, 2.984073589511e-08, 8.376097057176e-07  	 0.028  0.003839587  0.000136977  0.265347 50.985160 50.985850  0.004394665  0.009525456  -0.005130791  0.126693092  0.275425083 -0.148731991  0.000000998957     2.415119 
 9.523471604825e-03, 2.849188828634e-01, 3.941630628130e-03, 1.153673174253e-01, 2.980409057678e-08, 8.674137962944e-07  	 0.029  0.003976564  0.000136919  0.274812 50.984082 50.984822  0.004395973  0.009525559  -0.005129586  0.131089065  0.284950642 -0.153861577  0.000000998249     2.418220 
