# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2024-09-14 15:51:57 112587703 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
    36     0.036000  0.004935161  0.000136956 -0.006690109 -0.999977621  0.000000000000000000 -30.000671386  30.000671386  30.000671386  0.000000999760718     2.443006 30.000671385997951 
    37     0.037000  0.005072117  0.000136882 -0.006875882 -0.999976361  0.000000000000000000 -30.000709191  30.000709191  30.000709191  0.000000998823355     2.446990 30.000709191479924 
    38     0.038000  0.005208999  0.000136806 -0.007061564 -0.999975067 -0.000000000000001776 -30.000748013  30.000748013  30.000748013  0.000000997859279     2.451082 30.000748013345330 
    39     0.039000  0.005345805  0.000136895 -0.007247154 -0.999973739  0.000000000000000000 -30.000787850  30.000787850  30.000787850  0.000000999287620     2.455284 30.000787849599387 
    40     0.040000  0.005482700  0.000136815 -0.007432873 -0.999972376  0.000000000000000000 -30.000828748  30.000828748  30.000828748  0.000000998267112     2.459599 30.000828748357431 
    41     0.041000  0.005619515  0.000136900 -0.007618495 -0.999970979  0.000000000000000000 -30.000870660  30.000870660  30.000870660  0.000000999638231     2.464024 30.000870659828280 
    42     0.042000  0.005756415  0.000136817 -0.007804241 -0.999969546  0.000000000000000000 -30.000913635  30.000913635  30.000913635  0.000000998561821     2.468563 30.000913634500993 
    43     0.043000  0.005893232  0.000136897 -0.007989886 -0.999968080  0.000000000000003553 -30.000957620  30.000957620  30.000957620  0.000000999875997     2.473211 30.000957620010986 
    44     0.044000  0.006030129  0.000136810 -0.008175651 -0.999966579 -0.000000000000003553 -30.001002669  30.001002669  30.001002669  0.000000998744260     2.477974 30.001002669217019 
    45     0.045000  0.006166939  0.000136721 -0.008361309 -0.999965044  0.000000000000000000 -30.001048727  30.001048727  30.001048727  0.000000997587192     2.482846 30.001048727188422 
    46     0.046000  0.006303660  0.000136796 -0.008546857 -0.999963475  0.000000000000000000 -30.001095792  30.001095792  30.001095792  0.000000998816831     2.487827 30.001095791599312 
    47     0.047000  0.006440456  0.000136703 -0.008732519 -0.999961871  0.000000000000000000 -30.001143919  30.001143919  30.001143919  0.000000997605516     2.492924 30.001143918845901 
    48     0.048000  0.006577159  0.000136774 -0.008918068 -0.999960233  0.000000000000003553 -30.001193050  30.001193050  30.001193050  0.000000998779257     2.498129 30.001193050178909 
    49     0.049000  0.006713933  0.000136843 -0.009103725 -0.999958560  0.000000000000000000 -30.001243244  30.001243244  30.001243244  0.000000999924832     2.503451 30.001243244350889 
    50     0.050000  0.006850776  0.000136745 -0.009289488 -0.999956852 -0.000000000000003553 -30.001294503  30.001294503  30.001294503  0.000000998631096     2.508888 30.001294502512582 
    51     0.051000  0.006987521  0.000136810 -0.009475130 -0.999955110 -0.000000000000003553 -30.001346762  30.001346762  30.001346762  0.000000999721325     2.514434 30.001346762087760 
    52     0.052000  0.007124331  0.000136708 -0.009660874 -0.999953333  0.000000000000000000 -30.001400085  30.001400085  30.001400085  0.000000998375018     2.520097 30.001400085363478 
    53     0.053000  0.007261040  0.000136770 -0.009846493 -0.999951522 -0.000000000000003553 -30.001454407  30.001454407  30.001454407  0.000000999410416     2.525870 30.001454407232387 
    54     0.054000  0.007397809  0.000136664 -0.010032209 -0.999949676  0.000000000000000000 -30.001509792  30.001509792  30.001509792  0.000000998012332     2.531759 30.001509792325621 
    55     0.055000  0.007534474  0.000136722 -0.010217796 -0.999947797  0.000000000000000000 -30.001566173  30.001566173  30.001566173  0.000000998993453     2.537757 30.001566173014783 
    56     0.056000  0.007671196  0.000136778 -0.010403475 -0.999945882 -0.000000000000003553 -30.001623616  30.001623616  30.001623616  0.000000999946933     2.543873 30.001623616268940 
    57     0.057000  0.007807973  0.000136667 -0.010589244 -0.999943932  0.000000000000000000 -30.001682123  30.001682123  30.001682123  0.000000998470075     2.550106 30.001682122898760 
    58     0.058000  0.007944641  0.000136719 -0.010774878 -0.999941949  0.000000000000000000 -30.001741621  30.001741621  30.001741621  0.000000999370065     2.556448 30.001741621496780 
    59     0.059000  0.008081360  0.000136605 -0.010960597 -0.999939931  0.000000000000000000 -30.001802183  30.001802183  30.001802183  0.000000997843458     2.562908 30.001802182537453 
    60     0.060000  0.008217965  0.000136653 -0.011146176 -0.999937879  0.000000000000003553 -30.001863732  30.001863732  30.001863732  0.000000998690615     2.569478 30.001863732117705 
    61     0.061000  0.008354618  0.000136700 -0.011331836 -0.999935793 -0.000000000000003553 -30.001926343  30.001926343  30.001926343  0.000000999510652     2.576166 30.001926343034597 
    62     0.062000  0.008491318  0.000136581 -0.011517575 -0.999933671 -0.000000000000003553 -30.001990016  30.001990016  30.001990016  0.000000997908261     2.582972 30.001990015868330 
    63     0.063000  0.008627899  0.000136624 -0.011703167 -0.999931516  0.000000000000000000 -30.002054673  30.002054673  30.002054673  0.000000998676399     2.589889 30.002054672975898 
    64     0.064000  0.008764523  0.000136665 -0.011888835 -0.999929325  0.000000000000000000 -30.002120391  30.002120391  30.002120391  0.000000999417765     2.596923 30.002120390635799 
    65     0.065000  0.008901188  0.000136541 -0.012074574 -0.999927100  0.000000000000000000 -30.002187169  30.002187169  30.002187169  0.000000997741474     2.604076 30.002187169294562 
    66     0.066000  0.009037729  0.000136578 -0.012260161 -0.999924841  0.000000000000000000 -30.002254928  30.002254928  30.002254928  0.000000998431958     2.611340 30.002254927593725 
    67     0.067000  0.009174307  0.000136614 -0.012445817 -0.999922548  0.000000000000000000 -30.002323745  30.002323745  30.002323745  0.000000999096063     2.618723 30.002323745278272 
    68     0.068000  0.009310921  0.000136648 -0.012631538 -0.999920219  0.000000000000000000 -30.002393623  30.002393623  30.002393623  0.000000999733887     2.626225 30.002393622665544 
    69     0.069000  0.009447569  0.000136517 -0.012817323 -0.999917855  0.000000000000000000 -30.002464560  30.002464560  30.002464560  0.000000997960049     2.633846 30.002464560028709 
    70     0.070000  0.009584087  0.000136548 -0.013002947 -0.999915458  0.000000000000000000 -30.002536471  30.002536471  30.002536471  0.000000998548390     2.641578 30.002536471082148 
    71     0.071000  0.009720635  0.000136577 -0.013188631 -0.999913026  0.000000000000000000 -30.002609440  30.002609440  30.002609440  0.000000999110897     2.649430 30.002609440176030 
    72     0.072000  0.009857211  0.000136604 -0.013374372 -0.999910559 -0.000000000000003553 -30.002683467  30.002683467  30.002683467  0.000000999647688     2.657402 30.002683467460422 
    73     0.073000  0.009993815  0.000136467 -0.013560169 -0.999908057  0.000000000000000000 -30.002758553  30.002758553  30.002758553  0.000000997779838     2.665495 30.002758553043133 
    74     0.074000  0.010130282  0.000136490 -0.013745797 -0.999905522  0.000000000000000000 -30.002834606  30.002834606  30.002834606  0.000000998268675     2.673698 30.002834605757940 
    75     0.075000  0.010266772  0.000136513 -0.013931477 -0.999902952  0.000000000000003553 -30.002911715  30.002911715  30.002911715  0.000000998732290     2.682023 30.002911714531500 
    76     0.076000  0.010403285  0.000136533 -0.014117206 -0.999900347  0.000000000000000000 -30.002989879  30.002989879  30.002989879  0.000000999170821     2.690468 30.002989879354974 
    77     0.077000  0.010539818  0.000136552 -0.014302982 -0.999897707  0.000000000000003553 -30.003069100  30.003069100  30.003069100  0.000000999584404     2.699034 30.003069100179317 
    78     0.078000  0.010676369  0.000136568 -0.014488803 -0.999895032  0.000000000000003553 -30.003149377  30.003149377  30.003149377  0.000000999973184     2.707722 30.003149376915740 
    79     0.079000  0.010812938  0.000136422 -0.014674667 -0.999892321  0.000000000000000000 -30.003230709  30.003230709  30.003230709  0.000000997967831     2.716531 30.003230709436224 
    80     0.080000  0.010949360  0.000136436 -0.014860351 -0.999889579  0.000000000000003553 -30.003312999  30.003312999  30.003312999  0.000000998311060     2.725452 30.003312999324482 
    81     0.081000  0.011085795  0.000136448 -0.015046075 -0.999886801  0.000000000000000000 -30.003396342  30.003396342  30.003396342  0.000000998630048     2.734495 30.003396342326610 
    82     0.082000  0.011222243  0.000136458 -0.015231836 -0.999883989  0.000000000000000000 -30.003480738  30.003480738  30.003480738  0.000000998924953     2.743660 30.003480738207923 
    83     0.083000  0.011358702  0.000136467 -0.015417633 -0.999881141  0.000000000000000000 -30.003566187  30.003566187  30.003566187  0.000000999195937     2.752947 30.003566186696688 
    84     0.084000  0.011495169  0.000136475 -0.015603462 -0.999878259  0.000000000000000000 -30.003652687  30.003652687  30.003652687  0.000000999443165     2.762357 30.003652687484625 
    85     0.085000  0.011631644  0.000136480 -0.015789323 -0.999875341  0.000000000000003553 -30.003740240  30.003740240  30.003740240  0.000000999666804     2.771891 30.003740240227422 
    86     0.086000  0.011768124  0.000136484 -0.015975213 -0.999872388  0.000000000000007105 -30.003828845  30.003828845  30.003828845  0.000000999867028     2.781547 30.003828844545300 
    87     0.087000  0.011904608  0.000136326 -0.016161131 -0.999869400  0.000000000000000000 -30.003918500  30.003918500  30.003918500  0.000000997689213     2.791327 30.003918500023516 
    88     0.088000  0.012040934  0.000136327 -0.016346855 -0.999866381 -0.000000000000007105 -30.004009099  30.004009099  30.004009099  0.000000997847371     2.801219 30.004009098743616 
    89     0.089000  0.012177261  0.000136327 -0.016532604 -0.999863327  0.000000000000000000 -30.004100745  30.004100745  30.004100745  0.000000997982746     2.811235 30.004100745439064 
    90     0.090000  0.012313588  0.000136325 -0.016718374 -0.999860238  0.000000000000007105 -30.004193440  30.004193440  30.004193440  0.000000998095523     2.821375 30.004193439602410 
    91     0.091000  0.012449912  0.000136321 -0.016904165 -0.999857114 -0.000000000000007105 -30.004287181  30.004287181  30.004287181  0.000000998185887     2.831638 30.004287180693531 
    92     0.092000  0.012586234  0.000136316 -0.017089974 -0.999853956  0.000000000000000000 -30.004381968  30.004381968  30.004381968  0.000000998254027     2.842027 30.004381968140226 
    93     0.093000  0.012722550  0.000136310 -0.017275800 -0.999850762  0.000000000000000000 -30.004477801  30.004477801  30.004477801  0.000000998300134     2.852540 30.004477801338734 
    94     0.094000  0.012858860  0.000136302 -0.017461641 -0.999847534 -0.000000000000007105 -30.004574680  30.004574680  30.004574680  0.000000998324401     2.863178 30.004574679654315 
    95     0.095000  0.012995162  0.000136292 -0.017647495 -0.999844271  0.000000000000000000 -30.004672602  30.004672602  30.004672602  0.000000998327026     2.873941 30.004672602421792 
    96     0.096000  0.013131454  0.000136281 -0.017833360 -0.999840973  0.000000000000000000 -30.004771569  30.004771569  30.004771569  0.000000998308206     2.884829 30.004771568946111 
    97     0.097000  0.013267735  0.000136269 -0.018019234 -0.999837640  0.000000000000000000 -30.004871579  30.004871579  30.004871579  0.000000998268142     2.895843 30.004871578502915 
    98     0.098000  0.013404004  0.000136255 -0.018205117 -0.999834273  0.000000000000000000 -30.004972630  30.004972630  30.004972630  0.000000998207038     2.906983 30.004972630339083 
    99     0.099000  0.013540260  0.000136240 -0.018391006 -0.999830871 -0.000000000000007105 -30.005074724  29.545371914  30.005074724  0.000000998125097     2.918249 29.545371913736407 
   100     0.100000  0.013676499  0.000136223 -0.018576899 -0.999827435  0.000000000000000000 -30.005177858  29.052502779  30.005177858  0.000000998022528     2.929641 29.052502779276512 
   101     0.101000  0.013812723  0.000136205 -0.018762795 -0.999823963  0.000000000000000000 -30.005282032  28.574508474  30.005282032  0.000000997899538     2.941159 28.574508474177751 
   102     0.102000  0.013948928  0.000136186 -0.018948692 -0.999820457  0.000000000000000000 -30.005387244  28.111343638  30.005387244  0.000000997756338     2.952805 28.111343638169473 
   103     0.103000  0.014085114  0.000136323 -0.019134588 -0.999816917 -0.000000000000007105 -30.005493495  27.662931229  30.005493495  0.000000999915677     2.964577 27.662931229495591 
   104     0.104000  0.014221437  0.000136301 -0.019320699 -0.999813338  0.000000000000000000 -30.005600909  27.260598139  30.005600909  0.000000999727338     2.976491 27.260598139074776 
   105     0.105000  0.014357738  0.000136277 -0.019506805 -0.999809724 -0.000000000000007105 -30.005709361  26.840325528  30.005709361  0.000000999519351     2.988532 26.840325528060038 
   106     0.106000  0.014494015  0.000136252 -0.019692905 -0.999806076  0.000000000000000000 -30.005818850  26.434465729  30.005818850  0.000000999291935     3.000701 26.434465729198386 
   107     0.107000  0.014630267  0.000136225 -0.019878999 -0.999802393  0.000000000000000000 -30.005929376  26.042841871  30.005929376  0.000000999045308     3.012998 26.042841870614009 
   108     0.108000  0.014766492  0.000136198 -0.020065083 -0.999798676  0.000000000000000000 -30.006040938  25.665258488  30.006040938  0.000000998779690     3.025423 25.665258488111853 
   109     0.109000  0.014902690  0.000136169 -0.020251157 -0.999794924  0.000000000000000000 -30.006153533  25.301503711  30.006153533  0.000000998495303     3.037977 25.301503711327555 
   110     0.110000  0.015038859  0.000136138 -0.020437219 -0.999791138  0.000000000000000000 -30.006267162  24.951351304  30.006267162  0.000000998192368     3.050660 24.951351303613922 
   111     0.111000  0.015174997  0.000136107 -0.020623268 -0.999787318  0.000000000000007105 -30.006381823  24.614562561  30.006381823  0.000000997871109     3.063471 24.614562561100950 
   112     0.112000  0.015311103  0.000136231 -0.020809301 -0.999783463  0.000000000000000000 -30.006497516  24.290888076  30.006497516  0.000000999834124     3.076412 24.290888076496930 
   113     0.113000  0.015447334  0.000136196 -0.020995533 -0.999779569  0.000000000000000000 -30.006614373  24.007555105  30.006614373  0.000000999470984     3.089497 24.007555105276079 
   114     0.114000  0.015583530  0.000136161 -0.021181747 -0.999775642 -0.000000000000007105 -30.006732262  23.708597311  30.006732262  0.000000999090126     3.102712 23.708597311284052 
   115     0.115000  0.015719691  0.000136124 -0.021367941 -0.999771679  0.000000000000007105 -30.006851180  23.422001331  30.006851180  0.000000998691778     3.116057 23.422001331220077 
   116     0.116000  0.015855815  0.000136086 -0.021554114 -0.999767683  0.000000000000000000 -30.006971127  23.147488622  30.006971127  0.000000998276168     3.129533 23.147488621643397 
   117     0.117000  0.015991900  0.000136047 -0.021740265 -0.999763653  0.000000000000000000 -30.007092101  22.884776922  30.007092101  0.000000997843523     3.143139 22.884776922171390 
   118     0.118000  0.016127947  0.000136162 -0.021926392 -0.999759588 -0.000000000000007105 -30.007214101  22.633581339  30.007214101  0.000000999682115     3.156875 22.633581339419173 
   119     0.119000  0.016264109  0.000136120 -0.022112707 -0.999755484  0.000000000000000000 -30.007337268  22.419155801  30.007337268  0.000000999209847     3.170758 22.419155800838197 
   120     0.120000  0.016400229  0.000136077 -0.022298995 -0.999751347  0.000000000000000000 -30.007461460  22.189568012  30.007461460  0.000000998721169     3.184773 22.189568011586225 
   121     0.121000  0.016536306  0.000136033 -0.022485255 -0.999747175  0.000000000000000000 -30.007586677  21.970673095  30.007586677  0.000000998216313     3.198919 21.970673094887871 
   122     0.122000  0.016672340  0.000136143 -0.022671485 -0.999742969  0.000000000000000000 -30.007712917  21.762183195  30.007712917  0.000000999974231     3.213196 21.762183195179752 
   123     0.123000  0.016808483  0.000136096 -0.022857897 -0.999738724  0.000000000000000000 -30.007840324  21.588317339  30.007840324  0.000000999431256     3.227622 21.588317339023888 
