## SNAHYP HISTOGRAM DISTRIBUTIONS OF POINTS

## FC10	FC20	FC25	FC28

4631	2317	1856	1666
8961	4480	3584	3200
6140	3074	2470	2213
2960	1526	1257	1146
4860	2431	1945	1736
3973	1987	1589	1420
1324	841		769		744
794		794		794		796
1141	828		798		791
3888	1945	1556	1390
			
## 38672	20223	16618	15102




