## RIBBON-10L HISTOGRAM DISTRIBUTIONS OF POINTS

## FC10	FC20	FC30	FC40

8110	4055	2704	2028
4901	2478	1702	1334
7391	3696	2464	1848
7234	3617	2412	1809
9182	4592	3061	2297
7216	3608	2406	1804
9831	4916	3278	2458
7525	3763	2508	1882
8801	4401	2935	2201
6084	3043	2029	1523
			
## 76275	38169	25499	19184




