# DTStamp_FHdata_calc_intgr_error (integration error) 2023-10-21 07:25:40 522237088 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 2.881712215060e-02, 5.214934767434e-01, 2.772178880568e-04, 4.689897170677e-03, 1.917353438624e-08, 3.276635330333e-07  	 0.017  0.002332722  0.000137121 -0.347463 -0.349092  0.492540  0.028809192  0.028809192  -0.000000000  0.521350123  0.521350130 -0.000000006  0.000000999541   103.858191 
 2.880077726902e-02, 5.502942540124e-01, 2.774041459702e-04, 4.967301316647e-03, 1.916465615067e-08, 3.468281891840e-07  	 0.018  0.002469843  0.000137119 -0.367736 -0.369561  0.521350  0.028792850  0.028792851  -0.000000000  0.550142974  0.550142980 -0.000000007  0.000000999645   103.729588 
 2.878432647967e-02, 5.790785804921e-01, 2.775894434250e-04, 5.244890760072e-03, 1.915555387935e-08, 3.659837430633e-07  	 0.019  0.002606962  0.000137116 -0.387991 -0.390025  0.550142  0.028776402  0.028776403  -0.000000001  0.578919376  0.578919383 -0.000000007  0.000000999742   103.601117 
 2.876776997445e-02, 6.078463504665e-01, 2.777738251325e-04, 5.522664585205e-03, 1.914623106191e-08, 3.851299741252e-07  	 0.020  0.002744078  0.000137112 -0.408229 -0.410482  0.578919  0.028759849  0.028759850  -0.000000000  0.607679225  0.607679233 -0.000000008  0.000000999830   103.472779 
 2.875110794642e-02, 6.365974584130e-01, 2.779572877438e-04, 5.800621872949e-03, 1.913668789198e-08, 4.042666620172e-07  	 0.021  0.002881190  0.000137108 -0.428450 -0.430933  0.607678  0.028743190  0.028743191  -0.000000000  0.636422415  0.636422423 -0.000000008  0.000000999911   103.344574 
 2.873434058980e-02, 6.653317990028e-01, 2.781398279131e-04, 6.078761700862e-03, 1.912692457142e-08, 4.233935865886e-07  	 0.022  0.003018298  0.000137104 -0.448653 -0.451378  0.636421  0.028726426  0.028726427  -0.000000000  0.665148842  0.665148850 -0.000000008  0.000000999985   103.216503 
 2.870899644685e-02, 6.940407954496e-01, 2.782393600866e-04, 6.357001060948e-03, 1.910003299985e-08, 4.424936195885e-07  	 0.023  0.003155402  0.000137059 -0.468839 -0.471817  0.665148  0.028701090  0.028701090  -0.000000000  0.693849932  0.693849940 -0.000000009  0.000000999460   103.088565 
 2.869196662997e-02, 7.227327620796e-01, 2.784193843104e-04, 6.635420445259e-03, 1.908972152661e-08, 4.615833411151e-07  	 0.024  0.003292461  0.000137053 -0.489002 -0.492243  0.693849  0.028684064  0.028684064  -0.000000000  0.722533996  0.722534005 -0.000000009  0.000000999514   102.960800 
 2.867483217329e-02, 7.514075942529e-01, 2.785984241847e-04, 6.914018869443e-03, 1.907918736543e-08, 4.806625284805e-07  	 0.025  0.003429514  0.000137046 -0.509146 -0.512663  0.722533  0.028666933  0.028666933  -0.000000000  0.751200928  0.751200938 -0.000000009  0.000000999559   102.833169 
 2.865759327616e-02, 7.800651875290e-01, 2.787765269125e-04, 7.192795396356e-03, 1.906843476915e-08, 4.997309632497e-07  	 0.026  0.003566560  0.000137040 -0.529273 -0.533076  0.751199  0.028649697  0.028649698  -0.000000000  0.779850626  0.779850635 -0.000000010  0.000000999597   102.705673 
 2.864025013909e-02, 8.087054376681e-01, 2.789536891722e-04, 7.471749085528e-03, 1.905746369043e-08, 5.187884269401e-07  	 0.027  0.003703600  0.000137032 -0.549383 -0.553482  0.779849  0.028632358  0.028632358  -0.000000000  0.808482984  0.808482993 -0.000000010  0.000000999627   102.578314 
 2.862280296371e-02, 8.373282406318e-01, 2.791299076465e-04, 7.750878993175e-03, 1.904627437728e-08, 5.378347013174e-07  	 0.028  0.003840632  0.000137024 -0.569474 -0.573882  0.808481  0.028614914  0.028614915  -0.000000000  0.837097898  0.837097908 -0.000000010  0.000000999650   102.451090 
 2.860525195279e-02, 8.659334925846e-01, 2.793051790218e-04, 8.030184172196e-03, 1.903486736948e-08, 5.568695686868e-07  	 0.029  0.003977656  0.000137016 -0.589547 -0.594275  0.837096  0.028597367  0.028597367  -0.000000000  0.865695265  0.865695275 -0.000000010  0.000000999664   102.324003 
 2.858759731019e-02, 8.945210898948e-01, 2.794794999891e-04, 8.309663672185e-03, 1.902324264461e-08, 5.758928113315e-07  	 0.030  0.004114671  0.000137007 -0.609603 -0.614661  0.865693  0.028579716  0.028579716  -0.000000000  0.894274981  0.894274992 -0.000000011  0.000000999671   102.197052 
 2.856983924093e-02, 9.230909291358e-01, 2.796528672433e-04, 8.589316539429e-03, 1.901140047327e-08, 5.949042118047e-07  	 0.031  0.004251678  0.000136997 -0.629640 -0.635040  0.894272  0.028561962  0.028561962  -0.000000000  0.922836943  0.922836954 -0.000000011  0.000000999670   102.070239 
 2.855197795112e-02, 9.516429070869e-01, 2.798252774841e-04, 8.869141816913e-03, 1.899934169744e-08, 6.139035535022e-07  	 0.032  0.004388675  0.000136987 -0.649659 -0.655412  0.922834  0.028544105  0.028544105  -0.000000000  0.951381047  0.951381059 -0.000000012  0.000000999661   101.943564 
